1446502479922	Canada	CA	city	Salmo, British Columbia	en	Christi hood	cnhxx	-28800	365	Tickets officially purchased! Cannot wait to head back to the happiest https://t.co/QmBMBY2Ovb	49.19333	-117.27899
1446502480978	Brasil	BR	city	Fortaleza, Cear	en	J O R G E  D R U M 	jorgemenezesdw	0	397	I'm at Dom Lustosa in Fortaleza, CE https://t.co/u7N1zeO1TW	-3.74979544	-38.58847174
1446502481289	Brasil	BR	city	Teresina, Piau	und	Rafael martins 	r_martis24	-7200	364	I'm at Cinpolis Rio Poty in Teresina https://t.co/riKjfZ1jQ0	-5.07787064	-42.80183917
1446502481390	United States	US	city	Miami Beach, FL	en	#ian	_Iannn_	-36000	99	Personality Portraits  #gramps @ Lincoln Road Miami Beach https://t.co/VCpBpPRj9K	25.79068793	-80.13300461
1446502481904	Brasil	BR	city	Rio de Janeiro, Brasil	in	KID BUNDA	vitorialuizaa_	0	308	Tmnc	-22.9179292	-43.2553449
1446502481836	Chile	CL	city	Santiago, Metropolitana de Santiago	es	pia	punkapple	-10800	205	"En tres palabras se puede resumir todo lo que he aprendido en la vida: https://t.co/ACgb5Otu5m	-33.45	-70.6667
1446502481834	United States	US	city	Clyde, OH	en	Ohio S-Chain	tmj_OH_schn	-18000	256	Want to work in #Clyde, OH? View our latest opening: https://t.co/JH5LRiH7sK #SupplyChain #gopenskecareers #Job #Jobs #Hiring #CareerArc	41.3150157	-82.9946219
1446502482009	United States	US	city	Wyoming, MI	en	TMJ-MI Mgmt. Jobs	tmj_mi_mgmt	-18000	246	This #BusinessMgmt #job might be a great fit for you: Sales and Operations Management Training Program (Entry... - https://t.co/JuRmM7QVvl	42.864731	-85.6762789
1446502482076	United States	US	city	Las Vegas, NV	en	mark m mellon	mellonart	-28800	1964	Spirits in a trunk. Install day @SkaughtyG @ Josephine Skaught Hairdressing https://t.co/MHFt1Gj3zS	36.1597404	-115.1522598
1446502482083	Brasil	BR	city	Vitria, Esprito Santo	pt	renan souza	renanenf	-10800	197	Vamos pra enquete, qual legenda: 1 - Luz na passarela que l vem ela! 2 - O sooooooollllllllll h de https://t.co/xePMLq2MSf	-20.322393	-40.3507332
1446502482229	Mxico	MX	city	Veracruz, Veracruz de Ignacio de la Llave	es	Agapompis	amanvic16	0	164	Cuando vi como salio mi foto, me acorde de muchas cosas @ Fracc. Nuevo https://t.co/LXd5Ny5gNN	19.18328602	-96.19140337
1446502482728	United States	US	city	Pittsburgh, PA	en	T SHEFF	TSHEFF_FRESHA	-18000	1976	Dan... that guy makes a mean beverage.  (at @SixPennKitchen in Pittsburgh, PA) https://t.co/QAc9AG06nT	40.44284034	-80.00236694
1446502482779	United States	US	city	El Paso, TX	en	TMJ- ELP Health Jobs	tmj_elp_health	-18000	302	Can you recommend anyone for this #EmergencyMedicine #job? https://t.co/DRS68CCRwQ #ElPaso, TX #Hiring #CareerArc	31.7587198	-106.4869314
1446502482729	Brasil	BR	city	Itaquaquecetuba, So Paulo	en	Danny	dannydebritto	-28800	158	Gif sob isso #KeloversNaAtre	-23.42776603	-46.34445476
1446502482901	United States	US	city	New Albany, IN	en	RH Finance Jobs	RHFAJobs	-14400	0	See our latest #NEWALBANY, IN #job and click to apply: Accounting Manager/Supervisor - https://t.co/W5iN9NvigW #RHFAJobs #Accounting #Hiring	38.2856247	-85.8241312
1446502483085	United States	US	city	East Harwich, MA	en	Robert Reyes	reyes_speaks	-18000	274	As work finished I couldn't resist the sight, and the sky looks good too https://t.co/R4FGer2t5V	41.70691416	-70.01953629
1446502483236	Brasil	BR	city	Itabora, Rio de Janeiro	en	Carlinha	carla_chambela	-28800	402	I'm at Posto BR Duques GNV https://t.co/ivZgmX36b2	-22.76204911	-42.84844965
1446502483152	Brasil	BR	city	So Paulo, Brasil	pt	Felipe Oliveira	merlinlipe	-7200	237	Prensa Francesa!! (at @StarbucksBrasil in So Paulo, SP) https://t.co/TlxCMH9Les https://t.co/mqru0A2S7q	-23.56581628	-46.65295959
1446502483724	Brasil	BR	city	Ro de Janeiro, Brasil	pt	Cristina	cristinaelopez	-25200	386	Eo eo eo, dia de praia @ Copacabana, Rio de Janeiro https://t.co/7Fh51eqYWL	-22.96694444	-43.18055556
1446502483708	United States	US	admin	Pennsylvania, USA	en	Altoona Weather	AltoonaPA	-32400	2	5:09pm: sunset tomorrow's forecast for Altoona: sunny, 69/45F	40.50719	-78.3989
1446502483859	United States	US	city	Charlotte, NC	en	FLafayette Williams	flafayettewill1	0	2046	"@ThePollBible: Are there more guys or girls on Twitter?"Giri	35.2301431	-80.7243777
1446502483872	Argentina	AR	city	Ciudad Autnoma de Buenos Aires, Argentina	es	Luli Gonzalez	Luli_gonzalez	-10800	185	Una mas de ayeeer  @ Obelisco https://t.co/z5t8823NMn	-34.55888415	-58.46385518
1446502483929	Brasil	BR	city	Maring, Paran	lv	Ana Carol Cascales	carolcascales	-7200	605	I'm at Espaco Ju freitas https://t.co/CrS9DhqpiN	-23.40835882	-51.89319024
1446502484077	United States	US	city	Dallas, TX	en	Munch	Munch215	-21600	803	#KOTD | #NIKE HyperChase  | #WDYWT @ Dallas, Texas https://t.co/wGYgUr5lC7	32.7833	-96.8
1446502484103	United States	US	city	Baltimore, MD	bs	CGI 	CGI_Jobs	-18000	0	CGI: XML Editor/Writer (#Baltimore, MD) https://t.co/19rDoDXycn #IT #Job #Jobs #Hiring https://t.co/bzTA1M1zyy	39.2903848	-76.6121893
1446502484589	Brasil	BR	city	Uberlndia, Minas Gerais	pt	Mundo das Luanetes	fcolstevivo	-10800	1539	I'm at Escola Municipal Professor Oswaldo Vieira Gonalves in Uberlndia https://t.co/kLdyPxNSu1	-18.89683119	-48.23894221
1446502484692	Chile	CL	city	Providencia, Chile	es	 Jorge Gravier	qRicoBuenaOnda	-10800	1128	Tarde feliche ! @ Bustamante Park https://t.co/x2FzltxR5k	-33.44077257	-70.6320806
1446502484622	Brasil	BR	city	Sete Lagoas, Minas Gerais	en		leonardurc	0	76	goose bumps  @ Solar do Engenho https://t.co/Nh1ciQtGi0	-19.53728206	-44.25298308
1446502484883	Argentina	AR	city	Ituzaing Centro, Argentina	en	LU8DO Ituzaing BsAs	LU8DO	-10800	63	Wind 4 km/h ENE. Barometer 1017,8 hPa, Falling slowly. Temperature 18,6 C. Rain today 0,0 mm. Humidity 54%	-34.64972222	-58.66083333
1446502484902	United States	US	city	Sacramento, CA	en	Lydia!	Lyds85	-28800	339	Brrr! @ Sacramento, California https://t.co/L82zHRNZS9	38.5556	-121.469
